Timestamp,Username,What is your current position?,In what kind of research institute do you work?,"Which of these software do you use for your Quant Analysis.  [PeptideAtlas (StPeter, Libra, XPress)]",Which of these software do you use for your Quant Analysis.  [OpenMS],Which of these software do you use for your Quant Analysis.  [Other],Which of these software do you use for your Quant Analysis.  [MSnBase (PMID:22113085)],Which of these software do you use for your Quant Analysis.  [moFF],Which of these software do you use for your Quant Analysis.  [FlashLFQ (PMID:29083185)],Which of these software do you use for your Quant Analysis.  [diffacto],Which of these software do you use for your Quant Analysis.  [Skyline],Which of these software do you use for your Quant Analysis.  [Proline (http://www.profiproteomics.fr)],Which of these software do you use for your Quant Analysis.  [MaxQuant],Which of these software do you use for your Quant Analysis.  [Philosopher (Alexey Lab)],Which of these software do you use for your Quant Analysis.  [Patterlab (PMID:26658470)],Which of these software do you use for your Quant Analysis.  [EncyclopeDIA (PMID: 30510204)],Which of these software do you use for your Quant Analysis.  [Census],Which of these software do you use for your Quant Analysis.  [HIQuant (PMID:30282776)],Which commercial software do you use for your Quant Analysis.  [Scaffold],Which commercial software do you use for your Quant Analysis.  [Peak View ],Which commercial software do you use for your Quant Analysis.  [Spectronaut],Which commercial software do you use for your Quant Analysis.  [Progenesis],Which commercial software do you use for your Quant Analysis.  [Mascot ],Which commercial software do you use for your Quant Analysis.  [Proteome Discover],Which commercial software do you use for your Quant Analysis.  [Other],Which commercial software do you use for your Quant Analysis.  [Peaks],If you use other software please add a reference here and a the URL of the tool. You can add also comments.,Which are the features that make you to chose the following software for your data analysis [moFF],Which are the features that make you to chose the following software for your data analysis [EncyclopeDIA (PMID: 30510204)],Which are the features that make you to chose the following software for your data analysis [FlashLFQ (PMID:29083185)],Which are the features that make you to chose the following software for your data analysis [Skyline],"Which are the features that make you to chose the following software for your data analysis [PeptideAtlas (StPeter, Libra, XPress)]",Which are the features that make you to chose the following software for your data analysis [MSnBase (PMID:22113085)],Which are the features that make you to chose the following software for your data analysis [Other],Which are the features that make you to chose the following software for your data analysis [Philosopher (Alexey Lab)],Which are the features that make you to chose the following software for your data analysis [OpenMS],Which are the features that make you to chose the following software for your data analysis [Patterlab (PMID:26658470)],Which are the features that make you to chose the following software for your data analysis [diffacto],Which are the features that make you to chose the following software for your data analysis [Proline (http://www.profiproteomics.fr)],Which are the features that make you to chose the following software for your data analysis [Census],Which are the features that make you to chose the following software for your data analysis [MaxQuant],Which are the features that make you to chose the following software for your data analysis [HIQuant (PMID:30282776)],"Which packages do you use for downstream analysis: normalisation, Batch effect corrections.  ",If you use another packages for downstream analysis can you add them here: URL/Citation.,Which Search engine free do you use,Search engine and type of analysis  [Tide],Search engine and type of analysis  [Sequest],Search engine and type of analysis  [MetaMorpheus],Search engine and type of analysis  [MSGF+],Search engine and type of analysis  [Andromeda],Search engine and type of analysis  [Comet],Search engine and type of analysis  [MSPepSearch],Search engine and type of analysis  [MSFragger],Search engine and type of analysis  [SpectraST ],Search engine and type of analysis  [OMSSA],Search engine and type of analysis  [X!Tandem],Search engine and type of analysis  [MSAmanda],Search engine and type of analysis  [Mascot],"Which type of Protein quant data you would like to see more in proteomics resources. (e.g. PeptideAtlas, ProteomicsDB, etc) [Label-Free Differential expression experiments]","Which type of Protein quant data you would like to see more in proteomics resources. (e.g. PeptideAtlas, ProteomicsDB, etc) [Label-Free Base line expression experiments]","Which type of Protein quant data you would like to see more in proteomics resources. (e.g. PeptideAtlas, ProteomicsDB, etc) [TMT Differential expression experiments]","Which type of Protein quant data you would like to see more in proteomics resources. (e.g. PeptideAtlas, ProteomicsDB, etc) [TMT Base line expression experiments]","Which type of Protein quant data you would like to see more in proteomics resources. (e.g. PeptideAtlas, ProteomicsDB, etc) [SRM/MR expression Experiments]","Which type of Protein quant data you would like to see more in proteomics resources. (e.g. PeptideAtlas, ProteomicsDB, etc) [DIA/SWATH expression experiments]",In case you would like to see something else more represented in Proteomics resources let us know. ,
2019/02/08 4:49:43 PM GMT,user14,,,TMT analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In house pipeline.,,Comet,,,,,,,,,,,,,,,,,,,,,
2019/02/08 5:20:27 PM GMT,user15,,,,,,,,,,Label Free Analysis MS1,,TMT analysis;SILAC analysis;Phospho Quant analysis;Other Quant analysis;Label Free Spectral Count Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MSstats,,Andromeda,,,,,,,,,,,,,,,,,,,,,
2019/02/08 6:17:07 PM GMT,user16,,,,,,,,,,,,Label Free Analysis MS1;SWATH / DIA Quant;Phospho Quant analysis;Label Free Spectral Count Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MSstats,,X!Tandem;Comet;Andromeda,,,,,,,,,,,,,,,,,,,,,
2019/02/08 7:44:39 PM GMT,user17,,,,,,,,,,Label Free Analysis MS1;SWATH / DIA Quant;Phospho Quant analysis,,TMT analysis;SILAC analysis;Label Free Analysis MS1;Phospho Quant analysis;Label Free Spectral Count Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MSstats,,Comet;MSGF+;Andromeda,,,,,,,,,,,,,,,,,,,,,
2019/02/08 8:02:52 PM GMT,user18,,,,,,,,,,,,TMT analysis;Label Free Analysis MS1;Phospho Quant analysis;Label Free Spectral Count Analysis,,,,,,,,,,,,,,https://github.com/protcode/isob :  uses mascot as seach engine,,,,,,,,,,,,,,,,In house pipeline.,"saintQ, mapDIA",Andromeda,,,,,,,,,,,,,,,,,,,,,
2019/02/08 9:02:05 PM GMT,user19,,,,,,,,Label Free Analysis MS1,,,,Label Free Analysis MS1,,,,,,,,,,,,,,"Scaffold dia for dia , Phil’s paws for tmt , xtandem -> scaffold for spectral counting . Maxquant, or pd-nodes for ms1 lfq. ",,,,,,,,,,,,,,,,PAW pipeline (https://t.co/BtiFHAAKU7);Limma,http://www.prostar-proteomics.org/#home  https://github.com/eahrne/SafeQuant  https://github.com/cbielow/PTXQC ,X!Tandem;Comet;Andromeda;MSAmanda,,,,,,,,,,,,,,,,,,,,,
2019/02/08 9:17:49 PM GMT,user20,,,,,,,,,,SILAC analysis;Label Free Analysis MS1;Phospho Quant analysis;Other Quant analysis,,SILAC analysis;Label Free Analysis MS1;Phospho Quant analysis;Other Quant analysis,,,,,,,,,,,,,,TPP tool XPress (SILAC/Dimethylation),,,,,,,,,,,,,,,,,Perseus,X!Tandem;Comet;Andromeda,,,,,,,,,,,,,,,,,,,,,
2019/02/08 9:20:36 PM GMT,user21,,,,,,,,,,,,TMT analysis;SILAC analysis;Label Free Analysis MS1;Phospho Quant analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In house pipeline.,,,,,,,,,,,,,,,,,,,,,,,
2019/02/08 9:44:16 PM GMT,user22,,,,,,,,,,SWATH / DIA Quant;Other Quant analysis,,TMT analysis;SILAC analysis;Label Free Analysis MS1;Phospho Quant analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In house pipeline.;Limma,Perseus,Comet;MSGF+;Andromeda,,,,,,,,,,,,,,,,,,,,,
2019/02/08 10:21:52 PM GMT,user23,,,,,,,,,,,,,TMT analysis;Label Free Analysis MS1;Phospho Quant analysis;Label Free Spectral Count Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MSstats;In house pipeline.;Limma,,MSFragger,,,,,,,,,,,,,,,,,,,,,
2019/02/08 10:46:23 PM GMT,user24,,,,,,,,,,,,TMT analysis;SILAC analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Perseus,,Andromeda,,,,,,,,,,,,,,,,,,,,,
2019/02/08 10:58:22 PM GMT,user25,,,,,,,,,,,,TMT analysis;SILAC analysis;Label Free Analysis MS1;Phospho Quant analysis,,,,,,,,,,,,,,Proteome Discoverer 2.2,,,,,,,,,,,,,,,,In house pipeline.;Perseus,,,,,,,,,,,,,,,,,,,,,,,
2019/02/08 11:16:00 PM GMT,user26,,,,,,,,,,,,,TMT analysis;Label Free Analysis MS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MSFragger,,,,,,,,,,,,,,,,,,,,,
2019/02/08 11:31:13 PM GMT,user27,,,,,,,,,,Other Quant analysis,,SILAC analysis;Label Free Analysis MS1;Phospho Quant analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In house pipeline.;Perseus,,OMSSA;Andromeda,,,,,,,,,,,,,,,,,,,,,
2019/02/08 11:42:04 PM GMT,user28,,,,,,,,,,SILAC analysis;Label Free Analysis MS1;SWATH / DIA Quant,,TMT analysis;SILAC analysis;Label Free Analysis MS1;Phospho Quant analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In house pipeline.,"Matlab, Rstats",,,,,,,,,,,,,,,,,,,,,,
2019/02/08 11:49:06 PM GMT,user29,,,,,,,,,,,,Label Free Analysis MS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Perseus,,Andromeda,,,,,,,,,,,,,,,,,,,,,
2019/02/08 11:51:37 PM GMT,user30,,,,,,,,,,,,TMT analysis;Label Free Spectral Count Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MSstats,,X!Tandem,,,,,,,,,,,,,,,,,,,,,
2019/02/09 1:09:19 AM GMT,user31,,,,,,,,,,Other Quant analysis,,Label Free Analysis MS1,,,,,,,,,,,,,,Scaffold DIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019/02/09 1:36:37 AM GMT,user32,,,,SWATH / DIA Quant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MSstats;In house pipeline.,,X!Tandem;MSGF+,,,,,,,,,,,,,,,,,,,,,
2019/02/09 7:00:53 AM GMT,user33,,,,,,,,,,,,TMT analysis;SILAC analysis;Label Free Analysis MS1;SWATH / DIA Quant;Phospho Quant analysis;Other Quant analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MSnbase;Limma,,X!Tandem;Comet;MSGF+;Andromeda;MSAmanda,,,,,,,,,,,,,,,,,,,,,
2019/02/09 7:02:14 AM GMT,user34,,,,,,,,,,,,Label Free Analysis MS1;Label Free Spectral Count Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Perseus,,MSGF+;Andromeda,,,,,,,,,,,,,,,,,,,,,
2019/02/09 7:25:54 AM GMT,user35,,,,,,,,,,,,Label Free Analysis MS1;Phospho Quant analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Limma;Perseus,https://bioconductor.org/packages/release/bioc/html/DEP.html,Andromeda,,,,,,,,,,,,,,,,,,,,,
2019/02/09 8:05:08 AM GMT,user36,,,,,,,,,,,,SILAC analysis;Label Free Analysis MS1;Phospho Quant analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Perseus,,Comet;Andromeda,,,,,,,,,,,,,,,,,,,,,
2019/02/09 8:21:56 AM GMT,user37,,,,,,,,,,,,TMT analysis;Label Free Analysis MS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PAW pipeline (https://t.co/BtiFHAAKU7);Perseus;edgeR,,Andromeda,,,,,,,,,,,,,,,,,,,,,
2019/02/09 8:46:50 AM GMT,user38,,,,,,,,,,Other Quant analysis,,TMT analysis;SILAC analysis;Label Free Analysis MS1;Phospho Quant analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Perseus,,Andromeda,,,,,,,,,,,,,,,,,,,,,
2019/02/09 8:53:15 AM GMT,user39,,,,,,,,,,SWATH / DIA Quant;Phospho Quant analysis;Other Quant analysis;Label Free Spectral Count Analysis,,Phospho Quant analysis;Label Free Spectral Count Analysis,,,,,,,,,,,,,,Proteomics Discoverer,,,,,,,,,,,,,,,,Perseus,,Andromeda,,,,,,,,,,,,,,,,,,,,,
2019/02/09 1:36:06 PM GMT,user40,Phd Student,University,,,,,,,,,,,,Label Free Spectral Count Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,In house pipeline.,,Comet,,,,,,,,,,,,,,,,,,,,,
2019/02/09 3:03:33 PM GMT,user41,Post-Doc,University,,,,,,,,,,SILAC analysis;Label Free Analysis MS1;Phospho Quant analysis,Label Free Analysis MS1;Other Quant analysis;Label Free Spectral Count Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In house pipeline.,,Comet;MSGF+;MSFragger,,,,,,,,,,,,,,,,,,,,,
2019/02/09 4:19:08 PM GMT,user42,Research Scientist - Staff,Core Facility,,,,,,,,Label Free Analysis MS1;SWATH / DIA Quant,,SILAC analysis;Label Free Analysis MS1;Label Free Spectral Count Analysis,,,,,,Other Quant analysis;Label Free Spectral Count Analysis,,,,TMT analysis;SILAC analysis;Label Free Analysis MS1,TMT analysis;SILAC analysis;Label Free Analysis MS1;Other Quant analysis,,SWATH / DIA Quant,,,,,,,,,,,,,,,,,,,X!Tandem;Andromeda;MSAmanda;Mascot;Sequest,,,,,,,,,,,,,,,,,,,,,
2019/02/09 6:08:00 PM GMT,user43,Phd Student,University,,,,,,,,,,TMT analysis,,,,,Other Quant analysis,,,,,,,,,DO-MS  https://doi.org/10.1101/512152,,,,,,,,,,,,,,,,,https://doi.org/10.1101/512152,Andromeda;MSFragger,,,,,,,,,,,,,,,,,,,,,
2019/02/09 6:11:33 PM GMT,user44,Research Scientist - Staff,University,,,,,Label Free Analysis MS1,,,SWATH / DIA Quant,,Label Free Analysis MS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In house pipeline.,,X!Tandem;MSGF+,,,,,,,,,,,,,,,,,,,,,
2019/02/09 7:42:09 PM GMT,user45,Post-Doc,"Hospital, Research Hospital",,,,,,,,,,,,,,,,,,,,,TMT analysis;SILAC analysis;Label Free Analysis MS1;Phospho Quant analysis,,,,,,,,,,,,,,,,,,,In house pipeline.;Limma,,MSGF+;Sequest,,,,,,,,,,,,,,,,,,,,,
2019/02/09 8:52:06 PM GMT,user46,Post-Doc,University,,,,,,,,,,SILAC analysis;Label Free Analysis MS1;Phospho Quant analysis,,,,,,,,,Label Free Analysis MS1,,,,,We are switching to Proline: profiproteomics.fr/proline/,,,,,,,,,,,,,,,,In house pipeline.;Perseus,,X!Tandem;Comet;MSGF+;Tide;OMSSA;Andromeda;MSAmanda,,,,,,,,,,,,,,,,,,,,,
2019/02/09 9:04:18 PM GMT,user47,Principal Investigator,University,,,,,,,,,,SILAC analysis;Label Free Analysis MS1,,,,,,,,,,,SILAC analysis,,,,,,,,,,,,,,,,,,,Perseus,,Andromeda,,,,,,,,,,,,,,,,,,,,,
2019/02/10 9:30:37 AM GMT,user48,Post-Doc,Research Institute,,,,,,,,SILAC analysis;Label Free Analysis MS1,,SILAC analysis;Label Free Analysis MS1,,,,,,,,,,Label Free Analysis MS1,,,SILAC analysis;Label Free Analysis MS1,,,,,,,,,,,,,,,,,In house pipeline.,,Andromeda;Sequest,,,,,,,,,,,,,,,,,,,,,
2019/02/10 9:44:23 AM GMT,user49,Post-Doc,University,,TMT analysis;SILAC analysis;Label Free Analysis MS1;SWATH / DIA Quant;Phospho Quant analysis;Other Quant analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MSstats;In house pipeline.,,X!Tandem;Comet;MSGF+;Tide;OMSSA,,,,,,,,,,,,,,,,,,,,,
2019/02/10 10:51:17 AM GMT,user50,Developer - Bioinformatician;Phd Student,University,,TMT analysis;Phospho Quant analysis;Other Quant analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In house pipeline.;Limma,,X!Tandem;Comet;MSGF+;OMSSA,,,,,,,,,,,,,,,,,,,,,
2019/02/10 1:47:20 PM GMT,user51,Professor,University,,Label Free Analysis MS1,,,,,,,,TMT analysis;SILAC analysis;Label Free Analysis MS1,,,,,,,,,,,,,TMT analysis;SILAC analysis;Label Free Analysis MS1;Phospho Quant analysis;Label Free Spectral Count Analysis,Threshold-avoiding proteomics pipeline (TAPP) PMID 21879761 (will be open source),,,,,,,,,,,,,,,,MSnbase;In house pipeline.;Limma;edgeR,,X!Tandem;Comet;MSGF+;OMSSA;Andromeda,,,,,,,,,,,,,,,,,,,,,
2019/02/10 2:02:38 PM GMT,user52,Principal Investigator,University,,TMT analysis;Label Free Analysis MS1;SWATH / DIA Quant;Phospho Quant analysis;Other Quant analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MSstats;In house pipeline.,,X!Tandem;Comet;MSGF+;OMSSA,,,,,,,,,,,,,,,,,,,,,
2019/02/10 7:27:48 PM GMT,user53,Principal Investigator;Professor,University,,,,,,,,,,,,,,,,,,,,,,,,https://lgatto.github.io/MSnbase/,,,,,,,,,,,,,,,,MSnbase;Limma,,MSGF+,,,,,,,,,,,,,,,,,,,,,
2019/02/10 8:46:52 PM GMT,user54,Principal Investigator,University,,,,,,,,SILAC analysis;Label Free Analysis MS1;SWATH / DIA Quant;Phospho Quant analysis;Other Quant analysis,,,,,,,,,,,,,,,,https://bitbucket.org/searleb/encyclopedia/wiki/Home,,,,,,,,,,,,,,,,MSstats;In house pipeline.;edgeR,,Comet;Tide,,,,,,,,,,,,,,,,,,,,,
2019/02/10 10:16:36 PM GMT,user55,Developer - Bioinformatician;Research Scientist - Staff,Core Facility,,,,,,,,,,SILAC analysis;Label Free Analysis MS1;Phospho Quant analysis,,,,,,,,SWATH / DIA Quant,,,,,,,,,,,,,,,,,,,,,,MSnbase;Limma,,Andromeda,,,,,,,,,,,,,,,,,,,,,
2019/02/11 1:05:09 AM GMT,user56,Principal Investigator,"Company, Start-up, Pharma",Phospho Quant analysis,,,,,,,Label Free Analysis MS1,,,,,,,,,,SWATH / DIA Quant,,TMT analysis;SILAC analysis;Label Free Analysis MS1;Phospho Quant analysis;Other Quant analysis;Label Free Spectral Count Analysis,TMT analysis;SILAC analysis,,Phospho Quant analysis;Other Quant analysis,,,,,,,,,,,,,,,,,In house pipeline.,,X!Tandem;Comet;OMSSA;Mascot;Sequest,,Normal Peptide/Protein identification,,,,Normal Peptide/Protein identification;Phospho proteomics analysis,,,,Normal Peptide/Protein identification;Phospho proteomics analysis,Normal Peptide/Protein identification;Phospho proteomics analysis,,Normal Peptide/Protein identification;Phospho proteomics analysis;ProteoGenomics;Analytical/Bioinformatics methods development;Protein Characterisation,,,,,,,,
2019/02/11 2:17:29 AM GMT,user57,Principal Investigator,Research Institute,,,,,,,,,,Label Free Analysis MS1,,,,,,,,,,,Label Free Analysis MS1;Label Free Spectral Count Analysis,,,,,,,,,,,,,,,,,,,Perseus,,X!Tandem;Andromeda;MSAmanda,,Normal Peptide/Protein identification,,,Normal Peptide/Protein identification;Phospho proteomics analysis,,,,,,Normal Peptide/Protein identification,Normal Peptide/Protein identification,Normal Peptide/Protein identification,,,,,,,,
2019/02/11 2:21:52 AM GMT,user58,Phd Student,University,,,,,,,,Label Free Analysis MS1,,SILAC analysis;Label Free Analysis MS1,,,,,,,,SWATH / DIA Quant,,,SILAC analysis;Label Free Analysis MS1,,Label Free Analysis MS1,,,,,,,,,,,,,,,,,MSstats;In house pipeline.;Perseus,,MSAmanda;Sequest,,Normal Peptide/Protein identification,,,,,,,,,,Normal Peptide/Protein identification,,,,,,,,,
2019/02/11 2:24:49 AM GMT,user59,Scientist,"Company, Start-up, Pharma",,,,,,,,,,Label Free Analysis MS1,,,,,,,,,,,TMT analysis,,,,,,,,,,,,,,,,,,,MSstats,,Sequest;Byonic,,Normal Peptide/Protein identification,,,,,,,,,,,,,,,,,,,
2019/02/11 2:33:06 AM GMT,user60,Director,Core Facility,,TMT analysis,,,,,,TMT analysis,,TMT analysis,,,,,,,,,,TMT analysis;Label Free Analysis MS1,TMT analysis;Label Free Analysis MS1,,,,,,,,,,,,,,,,,,,In house pipeline.,,Andromeda;Mascot;Sequest,,Normal Peptide/Protein identification;Phospho proteomics analysis,,,Normal Peptide/Protein identification;Phospho proteomics analysis,,,,,,,Normal Peptide/Protein identification;Phospho proteomics analysis,Normal Peptide/Protein identification;Phospho proteomics analysis,,,,,,,,
